accountsservice 26.13.3-1.1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-2.1
ark 26.04.1-1.1
asusctl 6.3.7-1
awesome-terminal-fonts 1.1.0-5
awww 0.12.0-1.1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.22-1.1
bluedevil 1:6.6.4-1
blueman 2.4.6-2.1
bluez 5.86-5.1
bluez-hid2hci 5.86-5.1
bluez-libs 5.86-5.1
bluez-obex 5.86-5.1
bluez-utils 5.86-5.1
bottles 2:63.2-1
bpftune-git r754.afc3866-1
breeze-gtk 6.6.4-1
brightnessctl 0.5.1-3
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 6.19.1-1
cachy-update 3.19.4-1
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-7
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.4-2
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
caffeine-ng 4.3.2-1
cantarell-fonts 1:0.311-1
char-white r3.ef1c007-1
chwd 1.21.0-1
cliphist 1:0.7.0-2.1
cloudflare-warp-bin 2026.3.846-1
cpupower 7.0.3-1
cryptsetup 2.8.6-1.1
device-mapper 2.03.40-1.1
diffutils 3.12-2.1
dipc 1.0.0-3
dmemcg-booster 0.1.2-1
dmraid 1.0.0.rc16.3-15.1
dolphin 26.04.1-1.1
dosfstools 4.2-5.1
ds4drv 0.5.1-6
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-3.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.21-1.1
ethtool 1:7.0-1.1
exfatprogs 1.3.2-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.62.1-1.1
ffmpegthumbnailer 2.3.0-1.1
ffmpegthumbs 26.04.1-1.1
figlet 2.2.5-6.1
filelight 26.04.1-1.1
firefox 150.0.1-1.1
flatpak 1:1.16.6-1.1
fsarchiver 0.8.9-1.1
fwupd 2.1.2-1.1
gamemode 1.8.2-2.1
git 2.54.0-1.1
glances 4.5.4-1
gnome-text-editor 50.0-1.1
gnome-themes-extra 1:3.28-1
grim 1.5.0-2.1
grimblast-git r154.541628c-1
gst-libav 1.28.2-1
gst-plugin-pipewire 1:1.6.4-1.1
gst-plugin-va 1.28.2-1
gst-plugins-bad 1.28.2-1
gst-plugins-ugly 1.28.2-1
gum 0.17.0-1.1
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
gwenview 26.04.1-1.1
haruna 1.7.1-2.1
hdparm 9.65-3.1
htop 3.5.1-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
hypridle 0.1.7-9.1
hyprland 0.54.3-4.1
hyprlock 0.9.5-2.1
hyprpaper 0.8.4-1.1
hyprpicker 0.4.7-1.1
hyprshot 1.3.0-4
hyprsunset 0.3.3-7.1
inetutils 2.8-1.1
inkscape 1.4.4-1.1
innoextract 1.9-16.1
inotify-tools 4.25.9.0-1.1
intel-media-driver 26.1.5-1.1
intel-ucode 20260227-1
iptables 1:1.8.13-1.1
iwd 3.12-1.1
